Winery,Address,City,Website,Phone,NWP,App,Cave,Notes/Labels
El Molino Winery,3781 Silverado Trail,St. Helena,www.elmolinowinery.com,963-3632,X,Yes,Yes,
Elan Vineyards,4500 Atlas Peak Road,Napa,www.elanvineyards.com,252-3339,X,Yes,,
Eleven Eleven Wines,620 Trancas Street,Napa,www.elevenelevenwines.com,224-2211,X,No,,
Elizabeth Spencer,1165 Rutherford Road ,Rutherford,www.elizabethspencerwines.com,963-6067,X,No,,
Elkhorn Peak Cellars,200 Polson Road,Napa,www.elkhornpeak.com,255-0504,X,Yes,,Pinot Noir
Ellman Family Vineyards,1461 1st Streeet,Napa,www.ellmanfamilyvineyards.com,947-3010,X,Private,,
Elusa Winery,400 Silverado Trail N,Calistoga,www.elusawinery.com,403-6604,X,Private,,At the Four Seasons in Calistoga
Elyse,2100 Hoffman Lane,Napa,www.elysewinery.com,944-2900 ,X,Yes,,www.2100hoffmanlane.com
Emerson Brown Wines,4281 Dale Drive,Napa,www.emersonbrownwines.com ,257-1686,X,Private,,
Emmaus Wines,Monte Vista Drive,Napa,www.emmauswines.com,699-1555,,Private,,Coombsville
Encanto Vineyards,Vintage Lane,St. Helena,www.encantovineyards.com,967-9934,X,Private,,
Entrepreneur Wines,7908 Paragon Circle S. 100,Pleasanton,www.entrepreneurwines.com,925 461-9600,X,Private,,
Envy Wines,1170 Tubbs Lane,Calistoga,www.envywines.com,942-4670,X,Yes,,"Carter Cellars, Vine Hill"
Eponymous,P.O. Box 438,Oakville,www.eponymouswines.com,257-7393,X,Private,,
Epps Estate,4557 Linda Vista Ave,Napa,www.eppsestatevineyards.com,322-2462,,Private,,
Erosion Wine Co,1234 Main Street,St. Helena,www.erosion.wine,820-4445,X,No,,Napa TR also
Essere Franco,7744 St. Helena Highway,Napa,www.esserefranco.com,339-8019,X,No,,Mia Carta TR Napa
Estee Hill,PO Box 2545,Napa,www.esteehill.com,815-0648,,Private,,Coombsville
Etude,1250 Cuttings Wharf Road,Napa,www.etudewines.com,257-5300,X,Yes,,
Euclid,4217 Grapevine Drive,Napa,www.euclidwines.com,681-9463,X,Private,,
Evidence Wines,,,www.evidencewines.com,818 481-1082,,Private,,
Experience Wines,PO Box 747,Napa,www.experiencewines.com,888-8700,,Private,,
Extea Wines,1049 La Grande Ave,Napa,www.etxeawines.com,343-8932,,Private,,"Only 1 NV wine, produced in Napa??"
Failla,3530 Silverado Trail,St. Helena,www.faillawines.com ,963-0530,X,Yes,Yes,
Fairchild Family Vineyards,PO Box 2000,St. Helena,www.fairchildwines.com,963-9990,X,Private,,
Fairwinds Estate,4550 Silverado Trail N,Calistoga,www.fairwindsestatewinery.com,341-5300,X,No,Yes,Valley Floor
Fairest Creature,Main Street,St. Helena,www.fairestcreature.com,,X,Private,,
Fait-Main Wines,,St. Helena,www.faitmainwines.com,766-0888,X,Private,,Benoit
Falcor Wine Cellars,2511 NV Corporate Dr #115,Napa,www.falcorwines.com,255-6070,X,Yes,,
Fantesca Estate,2920 Spring Mountain Road,St. Helena,www.fantesca.com,968-9229,X,Private,Yes,"Hands on Harvest Event, Adopt a Grape"
Far Niente ,1350 Acacia Drive ,Oakville,www.farniente.com,944-2861,X,Yes,Yes,
Farella Vineyard,2222 North Third Avenue ,Napa,www.farella.com,254-9489,X,Yes,,Alta Wines
Farm  Napa Valley,1030 Seminary Street,Napa,www.farmnapavalley.com,257-3276,,No,,John Truchard/Taste at John Anthony
Faustini Wines,270 Kruezer Lane,Napa,www.faustiniwines.com,736-6050,X,Yes,,
Favia Wine,5074 Old Sonoma Road,Napa,www.faviawine.com,812-2546,X,Private,,Levithian label
FE Wines,PO Box 31 ,St. Helena,www.fewines.com,244-1191,,Private,,Spring Mountain
Fine Disregard Wine,41 Linnell Ave,Napa,www.finedisregardwine.com,681-5984,X,Private,,
Fisher Vineyards,4775 Silverado Trail N,Calistoga,www.fishervineyards.com,539-7511,X,Yes,,Calistoga winery + Santa Rosa 
Fifty Row,PO Box 10023,Napa,www.fiftyrow.com,501-5703,X,Yes,,
First Avenue Vineyards,2203 First Ave,Napa,www.firstavenuevineyards.com,252-6699,,Private,,
Five Vintners,1985 Vineyard Ave,St. Helena,www.fivevintners.com,688-9219,,Private,,Napa & Sonoma sources
Fleury Estate,950 Galleron Lane ,Rutherford,www.fleurywinery.com,974-9951,X,Yes,,
Flint Knoll,1251 Tubbs Lane,Calistoga,www.flintknoll.com,,X,Private,,Aaron
Flora Springs,677 S. St. Helena Hwy,St. Helena,www.florasprings.com,967-8032,X,No,,Bodacious Wines
Fluent Wine,PO Box 96,St. Helena,www.fluentwine.com,681-5763,,Private,,
Flying Lady Winery,3747 Langtry Road,St. Helena,www.flyinglady.com,227-8618,,Yes,,Burned down in 2020
Foley Johnson,8350 St. Helena Highway,Rutherford,www.foleyjohnsonwines.com,963-1980,X,Yes,,
Fontanella Family Winery,1721 Partrick Road,Napa,www.fontanellawinery.com,252-1017,X,No,Yes,
Fork in the Road,,,www.forknapa.com,415 860-6273,,Private,,Wines made in Napa?
Forman Vineyards,1501 Big Rock Road,St. Helena,www.formanvineyard.net,963-3900,X,Yes,Yes,Margaret
Forthright Winery,2255 Dry Creek Road,Napa,www.forthrightwinery.com,690-8985,X,Yes,Yes,
Fortunati Vineyards,986 Salvador Ave,Napa,www.fortunativineyards.com,255-9300,X,Private,,
Fortune 1621,,Napa,www.fortune1621.com,,,Private,,
Founders Ranch,,St. Helena,www.foundersranchwine.com,967-7667,,Private,,JCB owned
Fourth Leaf,,St. Helena,www.fourthleafwines.com,225-2759,X,Yes,,
Frank Family Vineyards,1091 Larkmead Lane ,Calistoga,www.frankfamilyvineyards.com,800 574-9463 ,X,No,,"Promise Winery, Winston Hill"
Frank Fredericks Estate,4225 Solano Ave Ste. 599,Napa,www.frankfredericksestate.wine,752-7005,,Private,,
Freedom Estate Wines,433 Soscol Ave Suite A100,Napa,www.freedomestatewine.com,265-0500,,Private,,Shawn@
Freemark Abbey,3022 St Helena Highway N,St. Helena,www.freemarkabbey.com,963-9698 X241,X,No,,
Frias Family Vineyard,3125 North St. Helena Hwy,St. Helena,www.friasfamilyvineyard.com,415 566-2419,X,Yes,,TR 1886 El Centro Ave Napa
Frisinger Family Vineyard,2275 Dry Creek Road,Napa,www.frisingerfamilywine.com,338-5009,X,Yes,,
Frisson Wines,,Napa,www.frissonwines.com,224-1222,X,Private,,
Frog's Leap Winery,8815 Conn Creek Road,Rutherford,www.frogsleap.com,963-4704,X,Yes,,
Fulcrum Wines,25 E. Napa Street Suite 25,Sonoma,www.fulcrumwines.com,931-6097,,Private,,"One NV wine, rest Sonoma, TR in Sonoma"
Fuse Wine,P.O. Box 2041,Napa,www.fusewine.com,265-6492,,Private,,"Signorello, Trim Wines"
Futo Family Estate,P.O. Box 410,Oakville,www.futowines.com,944-9333,X,Private,,
Gaderian Wines,3524 Silverado Trail North,St. Helena,www.gaderianwines.com,345-1851,X,Yes,,
Gagnon-Kennedy,270 Kruezer Lane,Napa,www.gkvwine.com,332-2499,,Yes,,
Gallegos Wines,PO Box 343,Rutherford,www.gallegoswines.com,815-0620,X,Private,,
Gamble Family Vineyards,7554 St. Helena Highway,Oakville,www.gamblefamilyvineyards.com,9444-2999,X,Private,,
Gamling and McDuck,1420 2nd Street,Napa,www.gamlingandmcduck.com,819-2835,X,No,,
Gandona Estate,1535 Sage Canyon Road,St. Helena,www.gandona.com,967-5550,X,Yes,Yes,
Gargiulo Vineyards,575 Oakville Crossroad,Napa,www.gargiulovineyards.com,944-2770 ,X,Yes,,
Gemstone Vineyard,7153 Silverado Trail,Napa,www.gemstonewine.com,944-0944,X,Private,,Made at V. 29
Geodesy ,,,www.geodesywine.com,890-8333,,Private,,"J Jordan, old Kuleto piece. Most no NV"
Gentleman Farmer Wines,6633 Yount Street,Yountville,www.gentlemanfarmerwines.com,948-6107,X,Private,,Taste at Silenus
Ghost Block ,7830 St. Helena Highway,Angwin,www.ghostblockwine.com,339-6672,X,Yes,,Owners of Napa Wine Co
Ghost Horse World,680 Rossi Road,St. Helena,www.ghosthorseworld.com,322-8025,X,Private,Yes,
Gibbs Estate Wines,617 Crystal Springs Road,St. Helena,www.gibbsnapavalley.com,963-3997,X,Yes,,"Terroir Napa Valley, Sentall labels"
Givich Vineyards,6015 Steele Canyon Road,Sunnyvale,www.givichvineyards.com,650 697-4427,X,Private,,
Girard Winery,6795 Washington Street,Yountville,www.girardwinery.com,968-9297,X,Yes,Yes,
Glenwood Cellars,2820 St. Helena Highway N,St. Helena,www.glenwoodcellars.com,574 296-1335,,Private,,1/2 Napa 1/2 Sonoma approx
Glorius Revolution,,Calistoga,www.grnapa.com,,,Private,,
GNG Napa Valley,,Napa,gngnapavalley.square.site,363-3309,,Private,,
Goosecross Cellars,1119 State Lane,Yountville,www.goosecross.com,944-1986,X,No,,Aeros
Graeser Winery,877 Vallejo Street,Napa,www.graeserwinery.com,256-9293,,Private,,
Grace Family Vineyards,1210 Rockland Drive,St. Helena,www.gracefamilyvineyards.com,963-0808,X,Private,,500th visit
Grade Cellars,P.O. Box 22,Calistoga,www.thegradevineyard.com,967-8200,X,Private,,
Grand Napa Vineyards,8461 St. Helena Highway,Napa,www.grandnapavineyards.com,738-1149,,Private,,Formerly Slaughterhouse Cellars??
Grassi Wine Company,1213 Coombs Street,Napa,www.grassiwines.com,224-7142,X,Private,,
Gratus Vineyards,2322 Barnett Road,St. Helena,www.gratusvineyards.com,921-8470,X,Private,,
Green & Red Vineyard,3208 Chiles-Pope Valley,Napa,www.greenandred.com,965-2346,X,Private,Yes,
Greer Wine,,Rutherford,www.greerwine.com,332-6825,X,Private,,
Greyscale Wines,P.O. Box 213,Orinda,www.greyscalewines.com,925 255-5187,X,Private,,Lovall Valley
Grieve Family Winery,465 First Street West 2nd F,Sonoma,www.grievewinery.com,938-9670,X,Yes,,
Grgich Hills,1829 St. Helena Highway ,Rutherford,www.grgich.com ,963-2784,X,No,,
Grounded Wine Co,,,www.groundedwineco.com,287-2489,,Yes,,"1 Napa wine made in Napa, others non N"
Groth,750 Oakville Cross Road,Oakville,www.grothwines.com,944-0290,X,Yes,,
Grow Wines,PO Box 202,Rutherford,www.growwines.com,225-1642,X,Private,,
Guarachi Family Wines,3148 Soda Canyon Road,Napa,www.guarachifamilywines.com,818 225-1500,X,Private,,
Gustavo Wine,1021 McKinstry Street,Napa,www.gustavowine.com,257-6796,X,Yes,,
Haber Family Vineyards,345 Pine Breeze Drive,Angwin,www.haberfamilyvineyards.com,965-9177,X,Private,,
Hagafen Cellars,4160 Silverado Trail ,Napa,www.hagafen.com,252-0781 ,X,No,,Don Ernesto Wines
Hailstone Vineyards,,Napa,www.hailstonevineyards.com,469 916-3899,,Yes,,"Chris, Dallas"
Hall Winery St. Helena,401 St. Helena Highway S,St. Helena,www.hallwines.com,967-2620,X,No,Yes,Other: Location Wine Caves Auberge
"Hall Winery, Rutherford",56 Auberge Road,Rutherford,www.hallwines.com,967-0700,X,Yes,,
Handwritten,6494 Washington Street,Yountville,www.handwrittenwines.com,944-8524,X,No,,
Hard Six Cellars,1755 Diamond Mountain Rd,Calistoga,www.hardsixcellars.com,942-4806,X,Private,,
Harlan Estate,1567 Oakville Grade,Oakville,www.harlanestate.com,944-1441,X,Private,Yes,600th visit
Harman Durand Estates,,Napa,www.harmondurandestates.com,,,Private,,Wine made in Napa?
Hartwell Vineyards,5795 Silverado Trail,Napa,www.hartwellvineyards.com,255-4269,X,Yes,Yes,
Harumph Wines,1104 Adams Street,St. Helena,www.harumphwines.com,628-7600,X,Private,,
Hayfork Wine Co,1795 Lewelling Lane,St. Helena,www.hayforkwine.com,227-4438,X,Private,,
HdV Vineyards,588 Trancas Street,Napa,www.hdvwines.com,251-9978,X,Yes,,De La Guerra Label
Heibel Ranch Vineyards,1241 Adams St. #1043,St. Helena,www.heibelranch.com,968-9289,X,Yes,,Ranch tour & tasting
Heimark ,432 Dutch Henry Canyon Rd,Calistoga,www.heimarkvineyard.com,200-7766,X,No,,
Heitz Cellar,436 St. Helena Highway S,St. Helena,www.heitzcellar.com,963-3542,X,No,,"Estate: 500 Taplin Road, St. Helena"
Helianthus,,,www.helianthuswine.com,945-0445,,Private,,
Hendry,3104 Redwood Road,Napa,www.hendrywines.com,226-8320,X,Yes,,
Hensley Family,1721 Partrick Road,Napa,www.hensleyfamilyvineyards.com,,,Private,,
Herencia Wines,1443 Silverado Trail,Rutherford,www.herenciawines.com,253-8466,X,No,,
Heritage School Vineyards,225 Franz Valley School Rd,Calistoga,www.heritageschoolvineyards.com,942-1513,X,Private,,
Heritance Wines,48 Harbor Park Drive,"PW, NY",www.heritancewines.com,561 893-9998,X,Yes,,
Hertelendy ,2275 Soda Canyon Road,Napa,www.hertelendy.com,510 629-9463,X,Yes,,
Hesperian Wines,3189 Atlas Peak Road,Napa,www.hesperianwines.com,255-1256,X,Private,,
Hess Collection,4411 Redwood Road,Napa,www.hesscollection.com ,255-1144,X,No,,Another winery in American Canyon
Hestan Vineyards,6548 Washington Street,Yountville,www.hestanvineyards.com,551-2882,X,Yes,,"TR Yountville, Meyer & Stephanie"
High Dive Cellars,,Oakville,www.highdivecellars.com,690-7400,,Private,,Made in Oakville 1 wine (other brands)
Highlands Winery,P.O. Box 3239,Napa,www.highlandswinery.com,603-2096,X,Private,,
Hill Family Estate,6512 Washington Street,Yountville,www.hillfamilyestate.com ,944-9580,X,No,,Tastings also at winery south of Yountville
Hillwalker Vineyards,,Napa,www.hillwalkervineyards.com,,,Private,,Mt. Veeder
Hindsight Wines,2383 Mora Ave,Calistoga,www.hindsightwines.com,942-9000,X,Private,,800th visit NWP
Hine Ranch,4520 Hardin Road,St. Helena,www.hineranch.com,287-0553,,Private,,Xavier Cervantes
Hobel,,Calistoga,www.hobelwines.com,385-9757,X,Yes,,
Honig Winery,850 Rutherford Road ,Rutherford,www.honigwine.com,963-5618 x318,X,Yes,,
Honrama Cellars,1916 N Kelly Road,Napa,www.honramacellars.com,628-2743,X,No,,TR in Sonoma
Hoopes Vineyard,6204 Washington Street,Yountville,www.hoopesvineyard.com,944-1869,X,Private,,"Also Hoopla, Liparita Cellars. Also estate YV"
Hope & Grace,6540 Washington Street,Yountville,www.hendrickswines.com,944-2500,X,No,,Hendricks wine
Hossfeld Vineyards,1250 Loma Vista Drive,Napa,www.hossfeldvineyards.com,257-6337,X,Private,,
Hourglass,"1104 Adams St., Ste 103",St. Helena,www.hourglasswines.com,968-9332,X,Private,Yes,
Hovering Hawk,100 Napa Junction Road,A Canyon,www.hoveringhawkwines.com,203-8862,,Private,,
Howell At The Moon,1221 Jones Street,SF,www.howellatthemoonwine.com,415 310-8628,X,Private,,
Howell Mountain Vineyards,150 Olive Ave,Angwin,www.howellmountainvineyards.com,637-9400,X,Private,,"1,100th review on NWP"
Hudson Vineyards,5398 Carneros Highway,Napa,www.hudsonvineyards.com,255-1455,X,Private,Yes,
Hugo Family Cellars,24 Geraldine Court,Napa,www.hugofamilycellars.com,927-3319,X,Private,,50% grapes from Sonoma?
Hundred Acre,Silverado Trail,St. Helena,www.hundredacre.com,967-9398,,Private,,"Fortunate Son, old David Fulton Winery"
Hunnicutt Wines,3524 Silverado Trail North,St. Helena,www.hunnicuttwines.com,963-2911,X,Private,Yes,
Hunter Glenn,1201 Darms Lane,Yountville,www.hunterglenn.com,738-4860,X,Yes,,8687 Wines
Husic Vineyards,189 Ridge Road,Napa,www.husicvineyards.com,812-4909,X,Private,,
Hyde Wines,1044 Los Carneros Ave,Napa,www.hydewines.com,265-7626,X,Yes,,
Ideology Cellars,5225 Solano Avenue,Napa,www.ideologycellars.com,226-2151,X,Yes,,This is the Silenus Vintners own label
Ilsley,6275 Silverado Trail ,Napa,www.ilsleyvineyards.com,944-1621,X,Yes,,SILENUS
III Rows,302 Longmeadow Drive,Baton Rouge,www.iiirows.com,256 810-6863,,Private,,Kent Jarmon + Louisina
Imago Mundi Wine,,Houston,www.imagomundiwine.com,832 289-6099,,Private,,"Steve Reynolds, Houston "
Impensata,PO Box 326,St. Helena,www.impensata.com,709-0515,,Private,,Made at Wheeler Farms
In Vino Felicitas Wines,,,www.invinofelicitaswines.com,,X,Private,,"Stackhouse, Illaria, Sergio"
Inglenook,1991 St. Helena Highway,St. Helena,www.inglenook.com,968-1100,X,No,Yes,
Institution Wine,2100 Hoffman Lane,Yountville,www.institutionwinery.com,947-7934,,No,,
Italics Wine,40 Rapp Lane,Napa,www.italicswine.com,258-0106,X,Yes,Yes,
J Gregory Wines,1890 El Centro Ave,Napa,www.jgregorywines.com,474-2149,X,Yes,,
J. Moss Wines,901 Enterprise Way ,Napa,www.jmosswines.com,647-3388,X,Yes,,Puerta Dorada
Jack Brooks,P.O. Box 738,Calistoga,www.jbvineyard.com,942-1237,X,Private,,
Jack Winery,PO Box 4053,Yountville,www.jackwinery.com,492-5436,X,Yes,,
Jacob Franklin Wines,,,www.jacobfranklinwines.com,666-2989,,Private,,
Jaffe Estate,1240 Spring Street,St. Helena,www.jaffeestate.com,967-9146,X,Private,,
James Cole,5014 Silverado Trail,Napa,www.jamescolewinery.com,251-9905 ,X,Yes,,"Farm Collective, Napa Valley"
Jarvis,2970 Monticello Rd,Napa,www.jarviswines.com,800 255-5280,X,Yes,Yes,
Jasud Estate,,Calistoga,www.beta-wines.com,,X,No,,
Jax Vineyards,3468 Highway 128,Calistoga,www.jaxvineyards.com,415 341-5225,X,Private,,
JDB Wines,PO Box 457,Napa,www.jdbwines.com,287-2141,X,Private,,Making in Napa? Some non Napa
Jean Edwards,1021 Atlas Peak Road B ,Napa,www.jeanedwardscellars.com,973 402-8524,X,No,,Wines on First
Jericho Canyon Vineyard,3292 Old Lawley Toll Road,Calistoga,www.jerichocanyonvineyard.com,942-9665,X,Yes,Yes,
Jessup Cellars,6740 Washington Street,Yountville,www.jessupcellars.com,944-8523,X,No,,
Joel Gott Wines,2055 Hoffman Lane,Napa,www.gottwines.com,963-3365,,Private,,NAPA WINE CO
John Anthony,3230 Old Sonoma Road,Napa,www.johnanthonyvineyards.com,265-7711,X,Private,,"JAM Cellars, BUTTER Wines"
Johndrow Vineyards,,St. Helena,www.johndrowvineyards.com,405 833-1544,,Private,,
Jon Nathaniel,1978 Zinfandel Lane,St. Helena,www.jonnathanielwines.com,967-6754,X,Private,,"Separate from Fsprings, Komes Fam."
Jones Family Vineyards,P.O. Box 352,Calistoga,www.joneswine.com,942-0467,X,Private,,NAPA WINE CO
Joseph Cellars,4455 St. Helena Hwy,Calistoga,www.josephcellars.com,942-999,X,Private,Yes,
Joseph George,1559 Meridian Ave,San Jose,www.josephgeorge.com,408 448-9463,X,Private,,Wine shop San Jose
Joseph Phelps,200 Taplin Road,St. Helena,www.josephphelps.com,963-2745,X,Yes,,
JP Harbison,7601 Silverado Trail,Napa,www.harbisonwines.com,916 422-1972,,Private,,Makes 6 barrels at Miner Family
Judd's Hill,2332 Silverado Trail,Napa,www.juddshill.com,255-2332,X,Yes,,
Juslyn Vineyards,2900 Spring Mountain Rd,St. Helena,www.juslynvineyards.com,265-1804,X,Yes,,SILENUS
Kaiser Family Winery,1457 Lincoln Ave,Calistoga,www.kaiserfamilywinery.com,341-3450,X,Yes,,
Kale Wines,708 1st Street,Napa,www.kalewines.com,224-4041,X,No,,
Kanpai Wines,4120 Dry Creek Road,Napa,www.kanpai.wine,626 319-1400,,Private,,
Kapcsandy Family Winery,1001 State Lane,Yountville,www.kapcsandywines.com,948-3100,X,Yes,,"Thurs, Friday 2pm Sept onward"
Kasten Family Wines,4179 Big Ranch Road,Napa,www.kastenwines.com,258-2848,,Private,,
Karl Lawrence,1021 Allison Ave,St. Helena,www.karllawrence.com,968-5247,X,Private,,
Keep Wines,,Napa,www.thekeepwines.com,508-5421,,Private,,Mostly non Napa - YMV Pmeunier
Keever,26 Vineyard View Drive,Yountville,www.keevervineyards.com,944-0910,X,Yes,Yes,Tues-Sun
Kelham Vineyards,360 Zinfandel Lane,St. Helena,www.kelhamvineyards.com,963-2000,X,Yes,,
Kelleher Family Vineyards,7337 St. Helena Highway,Napa,www.kelleherfamilyvineyards.com,866 531-2580,X,Private,,Brix Restaurant owners
Kelly Family Vineyards,351 2nd Street,Napa,www.kellyfamilyvineyards.com,255-5688,X,Private,,
Kelly Fleming Wine,2339 Pickett Road,Calistoga,www.kellyflemingwines.com,942-6849,X,Private,Yes,
Kenefick Ranch,2200 Picket Road,Calistoga,www.kenefickranch.com,942-6175,X,Private,,
Kent Rasmussen Winery,2515 Napa Valley Corp. Dr,Napa,www.kentrasmussenwinery.com,963-5667,X,Private,,Napa + Berkely production
Kenzo Estate,8999 Wildhorse Valley Road,Napa,www.kenzoestate.com,259-5408,X,Private,Yes,
Keplinger Wines,926 Franklin Street,Napa,www.keplingerwines.com,815-7824,X,Yes,,
Kerr Cellars,1250 Church Street,St. Helena,www.kerrcellars.com,963-5377,X,Private,,Curvature Wines
Kind Cellars,P.O. Box 84,Angwin,www.kindcellars.com,812-2994,X,Private,,
Kinsman Eades,PO Box 852,St. Helena,www.kinsmaneades.com,512-0166,,Yes,,
Kitson Wines,4755 Hillside Drive,Castro V,www.kitsonwines.com,530 220-4694,,Private,,Only 1 NV wine. Napa car dealer
KNA Wines,,,www.knawine.com,,X,Private,,
Knighton Family Vineyards,Old Lawley Toll Road,Calistoga,www.knightonfamilyvineyards.com,942-8386,X,Private,,
Knights Bridge Winery,1373 Lincoln Ave,Calistoga,www.knightsbridgewinery.com,341-3391,X,Yes,,
Kongsgaard,4050 Spring Mountain Road,St. Helena,www.kongsgaardwine.com,963-1391,X,Private,Yes,
Kris Todd Vineyards,,Angwin,www.kristoddvineyards.com,225-7855,X,Private,,
Krupp Brothers,1094 Hardman Lane,Napa,www.kruppbrothers.com,226-2215,X,Yes,,"Veraison, Black Bart -  TR in Napa"
Kuleto Estate,2470 Sage Canyon Road,St. Helena,www.kuletoestate.com,963-9750,X,Yes,,
La Jota Vineyard Co,1102 Las Posadas Road,Angwin,www.lajotavineyardco.com,877 222-0292,X,Yes,,Taste at Cardinale
La Pelle Wines,,St. Helena,www.lapellewines.com,,X,Private,,
La Sirena,P.O. Box 441,Calistoga,www.lasirenawine.com,942-1105,X,Private,,"Winemaker, Heidi Barret's label"
Labry Wines,PO Box 561,Rutherford,www.labrywine.com,346-2272,,Private,,
Ladera Vineyards,3942 Silverado Trail N,Calistoga,www.laderavineyards.com,965-2445,X,Yes,Yes,Chateau Woltner
Lagier Meredith,4967 Dry Creek Road,Napa,www.lagiermeredith.com,253-0653,X,Private,,Chester's Anvil Wines
Lail Vineyards,1127 Pope Street,St. Helena,www.lailvineyards.com,968-9900,X,Private,,MA(I)SONRY
Laird Family Estate,5055 Solano Avenue,Napa,www.lairdfamilyestate.com,257-0360x26,X,No,,
Lamborn Family Vineyards,1984 Summit Lake Drive,Angwin,www.lamborn.com,925 254-0511,X,Yes,,
Lampyridae Vineyards,4756 Cavedale Road,Glen Ellen,www.lampyridaevineyards.com,935-7112,X,Private,,Highest vineyards on Mt. Veeder
Lang & Reed Wine Co.,1200 Oak Ave,St. Helena,www.langandreed.com,963-7547,X,Private,,
Lanthanide Wines,,Napa,www.lwgwines.com,286-9660,,Private,,
Larkin Wines,P.O. Box 3178,Yountville,www.larkinwines.com,944-9105,X,Private,,
Larkmead Vineyards,1100 Larkmead Lane,Calistoga,www.larkmead.com,942-0167,X,Yes,,Meadowlark Cellars
Las Bonitas,1245 Main St,Napa,www.lasbonitaswines.com,255-7150,X,Yes,,Vintner's Collective label
Lateral Wine,1370 Trancas Street #420,Napa,www.lateralwine.com,408 230-0392,,Private,,
Laura Michael Wines,2250 Lake County Hwy,Calistoga,www.lauramichaelwines.com,942-9251,X,Yes,,
Lava Vine Vineyards,965 Silverado Trail,Calistoga,www.lavavine.com,942-9500,X,Private,,
Lawer Estates,1255 Lincoln Ave,Calistoga,www.lawerestates.com,341-3117,X,No,,
Layne Family Wines,428 Cernon Street,Vacaville,www.vitusnapavalley.com,689-5452,,No,,Wines made in Napa? VacaV + FitF
Laz Wine,6484 Washington Street C,Yountville,www.lazwine.com,415-5040,,Yes,,
Le Chanceaux,4011 E 3rd Ave,Napa,www.le-chanceux.com,363-7495,X,Private,,
Leaf & Vine,190 Camino Oruga #24,Napa,www.leafandvine.com,478-1725,X,No,,"Mostly non Napa, Napa based"
Lerner Project,30 Kortum Canyon Road,Calistoga,www.lernerproject.com,965-4040,X,Yes,,
Leto Cellars,761 Technology Way,Napa,www.letocellars.com,259-5386,X,Yes,,
Levendi Winery,4225 Solano Ave Ste. 633,Napa,www.levendiwinery.com,877 538-3634,X,Yes,,
Levy & McClellan,P.O. Box 524,St. Helena,www.levymcclellan.com,963-1282,X,Private,,
Lewelling Vineyards,1951 Olive Ave,St. Helena,www.lewellingvineyards.com,963-1685,X,Private,,
Lewis Cellars,4101 Big Ranch Road,Napa,www.lewiscellars.com,255-3400,X,Private,,Make 1 Betts & Scholl Syrah
Life Wine,,,www.lifewine.co,,,Private,,Non napa wines to
Lindstrom Wines,P.O. Box 3506,Yountville,www.lindstromwines.com,226-6289,X,Private,,
Liparita Cellars,410 Lafata Street #203,St. Helena,www.liparita.com,944-1869,X,Yes,,
Little Village Collection,PO Box 612,Calistoga,www.littlevillagecollection.com,544-8668,,Private,,
LJ Crafted Wines,5621 La Jolla Blvd,La Jolla,www.ljcraftedwines.com,858 551-8890,X,No,,La Jolla Tasting Room
Llamas Family Wines,100 Paradise Drive #1900,Napa,www.llamasfamilywines.com,299-0476,X,Private,,
Lobo Wines,2855 Atlas Peak Road,Napa,www.lobowines.com,224-8322,X,Private,,
Localism Wines/Anon,,Napa,www.localismwines.com,363-4208,X,Yes,,
Lokoya,3787 Spring Mountain Rd,St. Helena,www.lokoya.com,944-2807,X,Yes,,
Lola Wines,916 Foothill Blvd,Calistoga,www.lolawines.com,342-0623,X,No,,Calistoga
Long Meadow Ranch,1775 Whitehall Lane,St. Helena,www.longmeadowranch.com,963-4555,X,Yes,Yes,"Farmstead, St. Helena, TR Anderson Valley"
Longfellow Wines,910 Enterprise Way #M,Napa,www.longfellowwines.com,888 533-5569,X,Private,,"VC, Sonoma & Napa fruit"
Louis M. Martini,254 South St. Helena Hwy,St. Helena,www.louismartini.com,968-3361,X,No,,
Lunasa Wines,3111 St. Helena Hwy N,St. Helena,www.lunasawinescom,302-5104,,Yes,,"One NV & one Sierra foothills, made at BW?"
Luscher-Ballard,PO Box 556,St. Helena,www.luscher-ballard.com,,X,Private,,
Lyrix Wine,,,www.lyrixwine.com,,,Private,,
Macauley Vineyards,1309 Main Street Suite D,Rutherford,www.macauleyvineyard.com,963-1863,X,Private,,
MACDONALD Vineyards,PO Box 91,Oakville,www.macdonaldvineyards.com,225-7264,X,Private,,
Maco Vineyards,,,www.macovineyards.com,,,Private,,
Madonna Estate,5400 Old Sonoma Road,Napa,www.madonnaestate.com,255-8864,X,No,,Mont St. John Label
Madorom Vineyards,2340 Silverado Trail,Napa,www.madorom.com,265-8332,X,Private,,
Madrigal Vineyards,3718 N St. Helena Highway,St. Helena,www.madrigalfamilywinery.com,942-6577,X,Yes,,NAPA WINE CO
Magna Carta Wines,PO Box 415,Oakville,www.magnacartacellars.com,932-5689,,Private,,Probably no longer producing??
Majuscule Wine,,Napa,www.majusculewine.com,681-5758,X,Yes,,
Maldonado Vineyards,3070 Lawley-Old Toll Road,Calistoga,www.maldonadovineyards.com,287-4621,X,Yes,Yes,"TR 1307 Lincoln Ave, Calistoga"
Malk Family Vineyards,5850 Silverado Trail,Napa,www.malkfamilyvineyards.com,258-3072,X,Private,,Used to be Griffin Vineyards
Maltus,,Napa,www.maltus.com,226-7600,X,Yes,,World's End Wines
